	poem_name	poem
28	a lover's complaint	"[""''look here, what tributes wounded fancies sent me,"", 'of paled pearls and rubies red as blood;', 'figuring that they their passions likewise lent me', 'of grief and blushes, aptly understood', ""in bloodless white and the encrimson'd mood;"", 'effects of terror and dear modesty,', ""encamp'd in hearts, but fighting outwardly.""]"
29	a lover's complaint	"[""''and, lo, behold these talents of their hair,"", ""with twisted metal amorously impleach'd,"", 'i have received from many a several fair,', ""their kind acceptance weepingly beseech'd,"", ""with the annexions of fair gems enrich'd,"", ""and deep-brain'd sonnets that did amplify"", ""each stone's dear nature, worth, and quality.""]"
30	a lover's complaint	"[""''the diamond,--why, 'twas beautiful and hard,"", 'whereto his invised properties did tend;', 'the deep-green emerald, in whose fresh regard', 'weak sights their sickly radiance do amend;', 'the heaven-hued sapphire and the opal blend', 'with objects manifold: each several stone,', ""with wit well blazon'd, smiled or made some moan.""]"
31	a lover's complaint	"[""''lo, all these trophies of affections hot,"", 'of pensived and subdued desires the tender,', 'nature hath charged me that i hoard them not,', 'but yield them up where i myself must render,', 'that is, to you, my origin and ender;', 'for these, of force, must your oblations be,', 'since i their altar, you enpatron me.']"
32	a lover's complaint	"[""''o, then, advance of yours that phraseless hand,"", 'whose white weighs down the airy scale of praise;', 'take all these similes to your own command,', ""hallow'd with sighs that burning lungs did raise;"", 'what me your minister, for you obeys,', 'works under you; and to your audit comes', 'their distract parcels in combined sums.']"
33	a lover's complaint	"[""''lo, this device was sent me from a nun,"", 'or sister sanctified, of holiest note;', 'which late her noble suit in court did shun,', 'whose rarest havings made the blossoms dote;', 'for she was sought by spirits of richest coat,', 'but kept cold distance, and did thence remove,', 'to spend her living in eternal love.']"
34	a lover's complaint	"[""''but, o my sweet, what labour is't to leave"", 'the thing we have not, mastering what not strives,', 'playing the place which did no form receive,', 'playing patient sports in unconstrained gyves?', 'she that her fame so to herself contrives,', ""the scars of battle 'scapeth by the flight,"", 'and makes her absence valiant, not her might.']"
35	a lover's complaint	"[""''o, pardon me, in that my boast is true:"", 'the accident which brought me to her eye', 'upon the moment did her force subdue,', 'and now she would the caged cloister fly:', ""religious love put out religion's eye:"", 'not to be tempted, would she be immured,', 'and now, to tempt, all liberty procured.']"
36	a lover's complaint	"[""''how mighty then you are, o, hear me tell!"", 'the broken bosoms that to me belong', 'have emptied all their fountains in my well,', 'and mine i pour your ocean all among:', ""i strong o'er them, and you o'er me being strong,"", 'must for your victory us all congest,', 'as compound love to physic your cold breast.']"
37	a lover's complaint	"[""''my parts had power to charm a sacred nun,"", 'who, disciplined, ay, dieted in grace,', 'believed her eyes when they to assail begun,', 'all vows and consecrations giving place:', 'o most potential love! vow, bond, nor space,', 'in thee hath neither sting, knot, nor confine,', 'for thou art all, and all things else are thine.']"
38	a lover's complaint	"[""''when thou impressest, what are precepts worth"", 'of stale example? when thou wilt inflame,', 'how coldly those impediments stand forth', 'of wealth, of filial fear, law, kindred, fame!', ""love's arms are peace, 'gainst rule, 'gainst sense,"", ""'gainst shame,"", 'and sweetens, in the suffering pangs it bears,', 'the aloes of all forces, shocks, and fears.']"
39	a lover's complaint	"[""''now all these hearts that do on mine depend,"", 'feeling it break, with bleeding groans they pine;', 'and supplicant their sighs to you extend,', ""to leave the battery that you make 'gainst mine,"", 'lending soft audience to my sweet design,', 'and credent soul to that strong-bonded oath', ""that shall prefer and undertake my troth.'""]"
40	a lover's complaint	"[""'this said, his watery eyes he did dismount,"", ""whose sights till then were levell'd on my face;"", 'each cheek a river running from a fount', ""with brinish current downward flow'd apace:"", 'o, how the channel to the stream gave grace!', 'who glazed with crystal gate the glowing roses', 'that flame through water which their hue encloses.']"
41	a lover's complaint	"[""'o father, what a hell of witchcraft lies"", 'in the small orb of one particular tear!', 'but with the inundation of the eyes', 'what rocky heart to water will not wear?', 'what breast so cold that is not warmed here?', 'o cleft effect! cold modesty, hot wrath,', 'both fire from hence and chill extincture hath.']"
42	a lover's complaint	"[""'for, lo, his passion, but an art of craft,"", 'even there resolved my reason into tears;', ""there my white stole of chastity i daff'd,"", 'shook off my sober guards and civil fears;', 'appear to him, as he to me appears,', 'all melting; though our drops this difference bore,', ""his poison'd me, and mine did him restore.""]"
43	a lover's complaint	"[""'in him a plenitude of subtle matter,"", 'applied to cautels, all strange forms receives,', 'of burning blushes, or of weeping water,', 'or swooning paleness; and he takes and leaves,', ""in either's aptness, as it best deceives,"", 'to blush at speeches rank to weep at woes,', 'or to turn white and swoon at tragic shows.']"
44	a lover's complaint	"[""'that not a heart which in his level came"", ""could 'scape the hail of his all-hurting aim,"", 'showing fair nature is both kind and tame;', ""and, veil'd in them, did win whom he would maim:"", 'against the thing he sought he would exclaim;', ""when he most burn'd in heart-wish'd luxury,"", ""he preach'd pure maid, and praised cold chastity.""]"
45	a lover's complaint	"[""'thus merely with the garment of a grace"", ""the naked and concealed fiend he cover'd;"", ""that th' unexperient gave the tempter place,"", ""which like a cherubin above them hover'd."", ""who, young and simple, would not be so lover'd?"", 'ay me! i fell; and yet do question make', 'what i should do again for such a sake.']"
46	a lover's complaint	"[""'o, that infected moisture of his eye,"", ""o, that false fire which in his cheek so glow'd,"", 'o, that forced thunder from his heart did fly,', ""o, that sad breath his spongy lungs bestow'd,"", ""o, all that borrow'd motion seeming owed,"", ""would yet again betray the fore-betray'd,"", ""and new pervert a reconciled maid!'""]"
47	the rape of lucrece	"['from the besieged ardea all in post,', 'borne by the trustless wings of false desire,', 'lust-breathed tarquin leaves the roman host,', 'and to collatium bears the lightless fire', 'which, in pale embers hid, lurks to aspire', 'and girdle with embracing flames the waist', ""of collatine's fair love, lucrece the chaste.""]"
48	the rape of lucrece	"[""haply that name of 'chaste' unhappily set"", 'this bateless edge on his keen appetite;', 'when collatine unwisely did not let', 'to praise the clear unmatched red and white', ""which triumph'd in that sky of his delight,"", ""where mortal stars, as bright as heaven's beauties,"", 'with pure aspects did him peculiar duties.']"
49	the rape of lucrece	"[""for he the night before, in tarquin's tent,"", ""unlock'd the treasure of his happy state;"", 'what priceless wealth the heavens had him lent', 'in the possession of his beauteous mate;', 'reckoning his fortune at such high-proud rate,', 'that kings might be espoused to more fame,', 'but king nor peer to such a peerless dame.']"
50	the rape of lucrece	"[""o happiness enjoy'd but of a few!"", ""and, if possess'd, as soon decay'd and done"", ""as is the morning's silver-melting dew"", 'against the golden splendor of the sun!', ""an expired date, cancell'd ere well begun:"", ""honour and beauty, in the owner's arms,"", ""are weakly fortress'd from a world of harms.""]"
51	the rape of lucrece	['beauty itself doth of itself persuade', 'the eyes of men without an orator;', 'what needeth then apologies be made,', 'to set forth that which is so singular?', 'or why is collatine the publisher', 'of that rich jewel he should keep unknown', 'from thievish ears, because it is his own?']
52	the rape of lucrece	"[""perchance his boast of lucrece' sovereignty"", 'suggested this proud issue of a king;', 'for by our ears our hearts oft tainted be:', 'perchance that envy of so rich a thing,', 'braving compare, disdainfully did sting', ""his high-pitch'd thoughts, that meaner men should vaunt"", 'that golden hap which their superiors want.']"
53	the rape of lucrece	"['but some untimely thought did instigate', 'his all-too-timeless speed, if none of those:', 'his honour, his affairs, his friends, his state,', 'neglected all, with swift intent he goes', 'to quench the coal which in his liver glows.', ""o rash false heat, wrapp'd in repentant cold,"", ""thy hasty spring still blasts, and ne'er grows old!""]"
54	the rape of lucrece	"['when at collatium this false lord arrived,', 'well was he welcomed by the roman dame,', 'within whose face beauty and virtue strived', 'which of them both should underprop her fame:', ""when virtue bragg'd, beauty would blush for shame;"", 'when beauty boasted blushes, in despite', ""virtue would stain that o'er with silver white.""]"
55	the rape of lucrece	"['but beauty, in that white intituled,', ""from venus' doves doth challenge that fair field:"", ""then virtue claims from beauty beauty's red,"", 'which virtue gave the golden age to gild', ""their silver cheeks, and call'd it then their shield;"", 'teaching them thus to use it in the fight,', ""when shame assail'd, the red should fence the white.""]"
56	the rape of lucrece	"[""this heraldry in lucrece' face was seen,"", ""argued by beauty's red and virtue's white"", ""of either's colour was the other queen,"", ""proving from world's minority their right:"", 'yet their ambition makes them still to fight;', 'the sovereignty of either being so great,', ""that oft they interchange each other's seat.""]"
57	the rape of lucrece	"['their silent war of lilies and of roses,', ""which tarquin view'd in her fair face's field,"", 'in their pure ranks his traitor eye encloses;', ""where, lest between them both it should be kill'd,"", 'the coward captive vanquished doth yield', 'to those two armies that would let him go,', 'rather than triumph in so false a foe.']"
58	the rape of lucrece	"[""now thinks he that her husband's shallow tongue,--"", 'the niggard prodigal that praised her so,--', 'in that high task hath done her beauty wrong,', 'which far exceeds his barren skill to show:', 'therefore that praise which collatine doth owe', 'enchanted tarquin answers with surmise,', 'in silent wonder of still-gazing eyes.']"
59	the rape of lucrece	"['this earthly saint, adored by this devil,', 'little suspecteth the false worshipper;', ""for unstain'd thoughts do seldom dream on evil;"", 'birds never limed no secret bushes fear:', 'so guiltless she securely gives good cheer', 'and reverend welcome to her princely guest,', ""whose inward ill no outward harm express'd:""]"
60	the rape of lucrece	"[""for that he colour'd with his high estate,"", 'hiding base sin in plaits of majesty;', ""that nothing in him seem'd inordinate,"", 'save something too much wonder of his eye,', 'which, having all, all could not satisfy;', 'but, poorly rich, so wanteth in his store,', ""that, cloy'd with much, he pineth still for more.""]"
61	the rape of lucrece	"['but she, that never coped with stranger eyes,', 'could pick no meaning from their parling looks,', 'nor read the subtle-shining secrecies', 'writ in the glassy margents of such books:', ""she touch'd no unknown baits, nor fear'd no hooks;"", 'nor could she moralize his wanton sight,', ""more than his eyes were open'd to the light.""]"
62	the rape of lucrece	"[""he stories to her ears her husband's fame,"", 'won in the fields of fruitful italy;', ""and decks with praises collatine's high name,"", 'made glorious by his manly chivalry', 'with bruised arms and wreaths of victory:', 'her joy with heaved-up hand she doth express,', 'and, wordless, so greets heaven for his success.']"
63	the rape of lucrece	['far from the purpose of his coming hither,', 'he makes excuses for his being there:', 'no cloudy show of stormy blustering weather', 'doth yet in his fair welkin once appear;', 'till sable night, mother of dread and fear,', 'upon the world dim darkness doth display,', 'and in her vaulty prison stows the day.']
64	the rape of lucrece	"['for then is tarquin brought unto his bed,', 'intending weariness with heavy spright;', 'for, after supper, long he questioned', 'with modest lucrece, and wore out the night:', ""now leaden slumber with life's strength doth fight;"", 'and every one to rest themselves betake,', 'save thieves, and cares, and troubled minds, that wake.']"
65	the rape of lucrece	"['as one of which doth tarquin lie revolving', ""the sundry dangers of his will's obtaining;"", 'yet ever to obtain his will resolving,', 'though weak-built hopes persuade him to abstaining:', 'despair to gain doth traffic oft for gaining;', 'and when great treasure is the meed proposed,', ""though death be adjunct, there's no death supposed.""]"
66	the rape of lucrece	['those that much covet are with gain so fond,', 'for what they have not, that which they possess', 'they scatter and unloose it from their bond,', 'and so, by hoping more, they have but less;', 'or, gaining more, the profit of excess', 'is but to surfeit, and such griefs sustain,', 'that they prove bankrupt in this poor-rich gain.']
67	the rape of lucrece	"['the aim of all is but to nurse the life', 'with honour, wealth, and ease, in waning age;', 'and in this aim there is such thwarting strife,', 'that one for all, or all for one we gage;', ""as life for honour in fell battle's rage;"", 'honour for wealth; and oft that wealth doth cost', 'the death of all, and all together lost.']"
68	the rape of lucrece	['so that in venturing ill we leave to be', 'the things we are for that which we expect;', 'and this ambitious foul infirmity,', 'in having much, torments us with defect', 'of that we have: so then we do neglect', 'the thing we have; and, all for want of wit,', 'make something nothing by augmenting it.']
69	the rape of lucrece	['such hazard now must doting tarquin make,', 'pawning his honour to obtain his lust;', 'and for himself himself be must forsake:', 'then where is truth, if there be no self-trust?', 'when shall he think to find a stranger just,', 'when he himself himself confounds, betrays', 'to slanderous tongues and wretched hateful days?']
70	the rape of lucrece	"['now stole upon the time the dead of night,', 'when heavy sleep had closed up mortal eyes:', 'no comfortable star did lend his light,', ""no noise but owls' and wolves' death-boding cries;"", 'now serves the season that they may surprise', 'the silly lambs: pure thoughts are dead and still,', 'while lust and murder wake to stain and kill.']"
71	the rape of lucrece	"[""and now this lustful lord leap'd from his bed,"", ""throwing his mantle rudely o'er his arm;"", ""is madly toss'd between desire and dread;"", ""th' one sweetly flatters, th' other feareth harm;"", ""but honest fear, bewitch'd with lust's foul charm,"", 'doth too too oft betake him to retire,', 'beaten away by brain-sick rude desire.']"
72	the rape of lucrece	"['his falchion on a flint he softly smiteth,', 'that from the cold stone sparks of fire do fly;', 'whereat a waxen torch forthwith he lighteth,', 'which must be lode-star to his lustful eye;', 'and to the flame thus speaks advisedly,', ""'as from this cold flint i enforced this fire,"", ""so lucrece must i force to my desire.'""]"
73	the rape of lucrece	"['here pale with fear he doth premeditate', 'the dangers of his loathsome enterprise,', 'and in his inward mind he doth debate', 'what following sorrow may on this arise:', 'then looking scornfully, he doth despise', ""his naked armour of still-slaughter'd lust,"", 'and justly thus controls his thoughts unjust:']"
74	the rape of lucrece	"[""'fair torch, burn out thy light, and lend it not"", 'to darken her whose light excelleth thine:', ""and die, unhallow'd thoughts, before you blot"", 'with your uncleanness that which is divine;', 'offer pure incense to so pure a shrine:', 'let fair humanity abhor the deed', ""that spots and stains love's modest snow-white weed.""]"
75	the rape of lucrece	"[""'o shame to knighthood and to shining arms!"", ""o foul dishonour to my household's grave!"", 'o impious act, including all foul harms!', ""a martial man to be soft fancy's slave!"", 'true valour still a true respect should have;', 'then my digression is so vile, so base,', 'that it will live engraven in my face.']"
76	the rape of lucrece	"[""'yea, though i die, the scandal will survive,"", 'and be an eye-sore in my golden coat;', 'some loathsome dash the herald will contrive,', 'to cipher me how fondly i did dote;', 'that my posterity, shamed with the note', 'shall curse my bones, and hold it for no sin', 'to wish that i their father had not bin.']"
77	the rape of lucrece	"[""'what win i, if i gain the thing i seek?"", 'a dream, a breath, a froth of fleeting joy.', ""who buys a minute's mirth to wail a week?"", 'or sells eternity to get a toy?', 'for one sweet grape who will the vine destroy?', 'or what fond beggar, but to touch the crown,', 'would with the sceptre straight be strucken down?']"
78	the rape of lucrece	"[""'if collatinus dream of my intent,"", 'will he not wake, and in a desperate rage', 'post hither, this vile purpose to prevent?', 'this siege that hath engirt his marriage,', 'this blur to youth, this sorrow to the sage,', 'this dying virtue, this surviving shame,', 'whose crime will bear an ever-during blame?']"
79	the rape of lucrece	"[""'o, what excuse can my invention make,"", 'when thou shalt charge me with so black a deed?', 'will not my tongue be mute, my frail joints shake,', 'mine eyes forego their light, my false heart bleed?', 'the guilt being great, the fear doth still exceed;', 'and extreme fear can neither fight nor fly,', 'but coward-like with trembling terror die.']"
80	the rape of lucrece	"[""'had collatinus kill'd my son or sire,"", 'or lain in ambush to betray my life,', 'or were he not my dear friend, this desire', 'might have excuse to work upon his wife,', 'as in revenge or quittal of such strife:', 'but as he is my kinsman, my dear friend,', 'the shame and fault finds no excuse nor end.']"
81	the rape of lucrece	"[""'shameful it is; ay, if the fact be known:"", 'hateful it is; there is no hate in loving:', ""i'll beg her love; but she is own:"", 'the worst is but denial and reproving:', ""my will is strong, past reason's weak removing."", ""who fears a sentence or an old man's saw"", ""shall by a painted cloth be kept in awe.'""]"
82	the rape of lucrece	"['thus, graceless, holds he disputation', ""'tween frozen conscience and hot-burning will,"", 'and with good thoughts make dispensation,', 'urging the worser sense for vantage still;', 'which in a moment doth confound and kill', 'all pure effects, and doth so far proceed,', 'that what is vile shows like a virtuous deed.']"
83	the rape of lucrece	"[""quoth he, 'she took me kindly by the hand,"", 'and gazed for tidings in my eager eyes,', 'fearing some hard news from the warlike band,', 'where her beloved collatinus lies.', 'o, how her fear did make her colour rise!', 'first red as roses that on lawn we lay,', 'then white as lawn, the roses took away.']"
84	the rape of lucrece	"[""'and how her hand, in my hand being lock'd"", 'forced it to tremble with her loyal fear!', ""which struck her sad, and then it faster rock'd,"", ""until her husband's welfare she did hear;"", 'whereat she smiled with so sweet a cheer,', 'that had narcissus seen her as she stood,', ""self-love had never drown'd him in the flood.""]"
85	the rape of lucrece	"[""'why hunt i then for colour or excuses?"", 'all orators are dumb when beauty pleadeth;', 'poor wretches have remorse in poor abuses;', 'love thrives not in the heart that shadows dreadeth:', 'affection is my captain, and he leadeth;', ""and when his gaudy banner is display'd,"", ""the coward fights and will not be dismay'd.""]"
86	the rape of lucrece	"[""'then, childish fear, avaunt! debating, die!"", 'respect and reason, wait on wrinkled age!', 'my heart shall never countermand mine eye:', 'sad pause and deep regard beseem the sage;', 'my part is youth, and beats these from the stage:', 'desire my pilot is, beauty my prize;', ""then who fears sinking where such treasure lies?'""]"
87	the rape of lucrece	"[""as corn o'ergrown by weeds, so heedful fear"", 'is almost choked by unresisted lust.', 'away he steals with open listening ear,', 'full of foul hope and full of fond mistrust;', 'both which, as servitors to the unjust,', 'so cross him with their opposite persuasion,', 'that now he vows a league, and now invasion.']"
88	the rape of lucrece	['within his thought her heavenly image sits,', 'and in the self-same seat sits collatine:', 'that eye which looks on her confounds his wits;', 'that eye which him beholds, as more divine,', 'unto a view so false will not incline;', 'but with a pure appeal seeks to the heart,', 'which once corrupted takes the worser part;']
89	the rape of lucrece	"['and therein heartens up his servile powers,', ""who, flatter'd by their leader's jocund show,"", 'stuff up his lust, as minutes fill up hours;', 'and as their captain, so their pride doth grow,', 'paying more slavish tribute than they owe.', 'by reprobate desire thus madly led,', ""the roman lord marcheth to lucrece' bed.""]"
90	the rape of lucrece	['the locks between her chamber and his will,', 'each one by him enforced, retires his ward;', 'but, as they open, they all rate his ill,', 'which drives the creeping thief to some regard:', 'the threshold grates the door to have him heard;', 'night-wandering weasels shriek to see him there;', 'they fright him, yet he still pursues his fear.']
91	the rape of lucrece	['as each unwilling portal yields him way,', 'through little vents and crannies of the place', 'the wind wars with his torch to make him stay,', 'and blows the smoke of it into his face,', 'extinguishing his conduct in this case;', 'but his hot heart, which fond desire doth scorch,', 'puffs forth another wind that fires the torch:']
92	the rape of lucrece	"['and being lighted, by the light he spies', ""lucretia's glove, wherein her needle sticks:"", 'he takes it from the rushes where it lies,', 'and griping it, the needle his finger pricks;', ""as who should say 'this glove to wanton tricks"", 'is not inured; return again in haste;', ""thou see'st our mistress' ornaments are chaste.'""]"
93	the rape of lucrece	['but all these poor forbiddings could not stay him;', 'he in the worst sense construes their denial:', 'the doors, the wind, the glove, that did delay him,', 'he takes for accidental things of trial;', 'or as those bars which stop the hourly dial,', 'who with a lingering slay his course doth let,', 'till every minute pays the hour his debt.']
94	the rape of lucrece	"[""'so, so,' quoth he, 'these lets attend the time,"", 'like little frosts that sometime threat the spring,', 'to add a more rejoicing to the prime,', 'and give the sneaped birds more cause to sing.', 'pain pays the income of each precious thing;', 'huge rocks, high winds, strong pirates, shelves and sands,', ""the merchant fears, ere rich at home he lands.'""]"
95	the rape of lucrece	"['now is he come unto the chamber-door,', 'that shuts him from the heaven of his thought,', 'which with a yielding latch, and with no more,', ""hath barr'd him from the blessed thing be sought."", 'so from himself impiety hath wrought,', 'that for his prey to pray he doth begin,', 'as if the heavens should countenance his sin.']"
96	the rape of lucrece	"['but in the midst of his unfruitful prayer,', ""having solicited th' eternal power"", 'that his foul thoughts might compass his fair fair,', 'and they would stand auspicious to the hour,', ""even there he starts: quoth he, 'i must deflower:"", 'the powers to whom i pray abhor this fact,', 'how can they then assist me in the act?']"
97	the rape of lucrece	"[""'then love and fortune be my gods, my guide!"", ""my will is back'd with resolution:"", 'thoughts are but dreams till their effects be tried;', ""the blackest sin is clear'd with absolution;"", ""against love's fire fear's frost hath dissolution."", 'the eye of heaven is out, and misty night', ""covers the shame that follows sweet delight.'""]"
98	the rape of lucrece	"[""this said, his guilty hand pluck'd up the latch,"", 'and with his knee the door he opens wide.', 'the dove sleeps fast that this night-owl will catch:', 'thus treason works ere traitors be espied.', 'who sees the lurking serpent steps aside;', 'but she, sound sleeping, fearing no such thing,', 'lies at the mercy of his mortal sting.']"
99	the rape of lucrece	['into the chamber wickedly he stalks,', 'and gazeth on her yet unstained bed.', 'the curtains being close, about he walks,', 'rolling his greedy eyeballs in his head:', 'by their high treason is his heart misled;', 'which gives the watch-word to his hand full soon', 'to draw the cloud that hides the silver moon.']
